ime,obshtina,moshtnost
"ФтЕЦ ""Вельово - 2""",община Антоново,0.001
"ФтЕЦ ""Вельово - 3""",община Антоново,0.029
"ФтЕЦ ""Грийненерджи Винарско 2""",община Камено,1.8
"ФтЕЦ ""Грийн Електрик - Първомай""",община Първомай,0.1974
"ФтЕЦ ""Раброво""",община Бойница,0.462
"ФтЕЦ ""Грий Пауър - Жребино 2""",община Елхово,0.0816
"ФтЕЦ ""Грий Пауър - Жребино 1""",община Елхово,0.0816
"ФтЕЦ ""Грейн - Айтос""",община Айтос,0.15
"ФтЕЦ ""Стражица - 1""",община Стражица,0.08648
"ФтЕЦ ""Давидов""",община Джебел,0.08
"ФтЕЦ ""ДАГ - 08""",община Димитровград,2.34
"ФтЕЦ ""Данов - Тамарино""",община Стралджа,0.063
"ФтЕЦ ""Могилино - 2""",община Две могили,0.1
"ФтЕЦ ""Данев - Сливен""",община Сливен,0.02961
"ФтЕЦ ""Дани и Тодоров - Казанлък""",община Казанлък,0.03
"ФтЕЦ ""Дани сън""",община Бяла Слатина,0.06435
"ФтЕЦ ""Дафком 2008 - Маломирово""",община Елхово,0.06664
"ФтЕЦ ""Дебър""",община Първомай,2.5
"ФтЕЦ ""Делектра""",община Дупница,0.0126
"ФтЕЦ ""Лесичово - 1""",община Лесичово,0.8
"ФтЕЦ ""Демано - Проглед""",община Чепеларе,0.08235
"ФтЕЦ ""Минерални бани""",община Минерални бани,0.0348
"ФтЕЦ ""Девня""",община Девня,4.804
"ФтЕЦ ""Дест Солар - Веселиново""",община Тунджа,0.9804
"ФтЕЦ ""Джамбазови""",община Петрич,0.2
"ФтЕЦ ""Джей Би Солар - Безмер 1""",община Тунджа,5.0
"ФтЕЦ ""Джей Би Солар - Безмер 2""",община Тунджа,5.0
"ФтЕЦ ""Джи - Л""",община Сунгурларе,0.04997
"ФтЕЦ ""Макреш 1""",община Макреш,0.35672
"ФтЕЦ ""Макреш 6""",община Макреш,0.15778
"ФтЕЦ ""Ръжево""",община Калояново,0.04536
"ФтЕЦ ""Джи Ти Кри - Червенаково""",община Твърдица,0.03885
"ФтЕЦ ""Джусто - с. Порой""",община Поморие,0.11045
"ФтЕЦ ""Суходол""",община Столична,0.1375
"ФтЕЦ ""Поморие""",община Поморие,0.1932
"ФтЕЦ ""Дианат 30 - Ямбол""",община Ямбол,0.03
"ФтЕЦ ""Дианат 60 - Ямбол""",община Ямбол,0.06
"ФтЕЦ ""Дивекс 2 - Айтос""",община Айтос,0.2
"ФтЕЦ ""Подем""",община Долна Митрополия,0.09024
"ФтЕЦ ""Д и Ш - Джебел""",община Джебел,0.1
"ФтЕЦ ""Дивелекс - Кирилово""",община Елхово,0.036
"ФтЕЦ ""Дивелекс - Маломирово""",община Елхово,0.048
"ФтЕЦ ""Димсол 1 - Радиево""",община Димитровград,3.0
"ФтЕЦ ""Ди Солар""",община Чирпан,0.017
"ФтЕЦ ""Диана хънт""",община Пазарджик,4.736
"ФтЕЦ ""Славщица""",община Угърчин,1.5
"ФтЕЦ ""Дима Комерс""",община Нова Загора,0.0693
"ФтЕЦ ""ДМТ - Кирилово""",община Стара Загора,0.096
"ФтЕЦ ""ДМТ 30""",община Стара Загора,0.03
"ФтЕЦ ""Еко Диана Динева - Филипово""",община Тополовград,0.04968
"ФтЕЦ ""Добрев Енерджи - Мелница""",община Елхово,0.14937
"ФтЕЦ ""Доброселец Енерджи""",община Тополовград,1.5792
"ФтЕЦ ""Дойков комерс - Добрич""",община Елхово,0.05217
"ФтЕЦ ""Дойков комерс - Тамарино""",община Стралджа,0.06468
"ФтЕЦ ""Дортех""",община Бяла Слатина,0.0972
"ФтЕЦ ""Дошев - Велинград""",община Велинград,0.0644
"ФтЕЦ ""Царева поляна""",община Стамболово,0.0864
"ФтЕЦ ""Еко Драчево""",община Средец,3.55212
"ФтЕЦ ""Златарица - 1""",община Златарица,0.074
"ФтЕЦ ""ДТА Инвест""",община Пазарджик,0.03
"ФтЕЦ ""ДТА Солар""",община Пазарджик,0.03
"ФтЕЦ ""Енергия 2008 - Българска поляна 3""",община Тополовград,0.03
"ФтЕЦ ""Енерджи актив - Стара Загора 1""",община Стара Загора,0.82
