ime,obshtina,moshtnost
"ФтЕЦ ""Попина - Добруджа""",община Ситово,0.03
"ФтЕЦ"" Добротица - Силистра - 1""",община Ситово,0.03
"ФтЕЦ ""Велико Търново-Бор""",община Велико Търново,0.03
"ФтЕЦ ""Нария Денис - Чернозем 2""",община Елхово,0.0297
"ФтЕЦ ""АМД Корект 2""",община Плевен,0.005
"ФтЕЦ ""Иван Сълов""",община Хайредин,0.029815
"ФтЕЦ ""Плачидол""",община Добричка,0.03
ФтЕЦ Солар технолъджи 1,община Левски,0.03
"ФтЕЦ ""Палов конструкшън  -  Стара Загора""",община Стара Загора,0.0297
"ФтЕЦ ""Нихат Низам""",община Банско,0.025
"ФтЕЦ ""Зафирово""",община Главиница,0.03
"ФтЕЦ ""Козловец""",община Свищов,0.03
"ФтЕЦ ""Пентаграм Инженеринг - Опан 1""",община Опан,0.03
"ФтЕЦ ""ИГМ Енерджи М1""",община Борован,0.03
"ФтЕЦ ""Строг""",община Столична,0.02958
"ФтЕЦ ""Александрово - Търговище - 1""",община Търговище,0.02988
"ФтЕЦ "" Козлодуйци - 1""",община Добричка,0.03
"ФтЕЦ ""Исперих - Алеко Константинов""",община Исперих,0.03
"ФтЕЦ ""Георги Кацаров - Смолян""",община Смолян,0.0228
"ФтЕЦ ""Борисово - 5""",община Сливо поле,0.03
"ФтЕЦ ""Морава""",община Свищов,0.03
"ФтЕЦ ""Масларево - 1""",община Полски Тръмбеш,0.03
"ФтЕЦ ""Умбаба - Войводиново""",община Марица,0.03
"ФтЕЦ ""Ивимед - Злато поле 2""",община Димитровград,0.02992
"ФтЕЦ ""Ивимед - Злато поле 1""",община Димитровград,0.02992
"ФтЕЦ ""Конор - Раднево 1""",община Раднево,0.0297
"ФтЕЦ ""Стелман - Свиленград""",община Свиленград,0.03
"ФтЕЦ ""Конор - Раднево 2""",община Раднево,0.0297
"ФтЕЦ ""Мелиса""",община Ловеч,0.03
"ФтЕЦ ""Електро""",община Мизия,0.0299
"ФтЕЦ ""ЕС-3 - Пищигово""",община Пазарджик,0.02976
"ФтЕЦ ""Кара Михал - Мургаш""",община Самуил,0.03
"ФтЕЦ ""Борово - Васил Априлов""",община Борово,0.03
"ФтЕЦ ""Визава - Хасково 3""",община Хасково,0.0297
"ФтЕЦ ""ВИЗАВА-ХАСКОВО 2""",община Хасково,0.03
"ФтЕЦ ""Угърчин 3""",община Угърчин,0.03
ФтЕЦ Угърчин 5,община Угърчин,0.03
"ФтЕЦ"" УГЪРЧИН 4""",община Угърчин,0.0297
"ФтЕЦ ""Мусов""",община Пордим,0.03
"ФтЕЦ ""Тонка Гогова - Конуш """,община Хасково,0.03
"ФтЕЦ ""Михалци - 1""",община Павликени,0.03
"ФтЕЦ ""Метал инс - Средец""",община Средец,0.0297
"ФтЕЦ ""Диди 2""",община Плевен,0.0297
"ФтЕЦ ""Старо Село - 5""",община Тутракан,0.0297
"ФтЕЦ ""Неждет Садула - Чорбаджийско""",община Кирково,0.03
"ФтЕЦ ""Халиктида""",община Брезник,0.03
"ФтЕЦ ""Мустафа Кисьо 2""",община Гоце Делчев,0.005
"ФтЕЦ ""Еврострой - Зимница 1""",община Стралджа,0.03
"ФтЕЦ ""Джоди Енерджи - Княжево""",община Тополовград,0.03
"ФтЕЦ ""Джоди Енерджи - Мамарчево 2""",община Болярово,0.03
"ФтЕЦ ""Първомайци - Мусала""",община Горна Оряховица,0.03
"ФтЕЦ ""Диекс - Дълго поле""",община Калояново,0.03
"ФтЕЦ ""Метличина""",община Вълчи дол,0.03
"ФтЕЦ ""ИГМ Енерджи Г2""",община Криводол,0.03
"ФтЕЦ ""Костичовци 2""",община Димово,0.0295
"ФтЕЦ ""ЕТ Томпс - Ямбол""",община Ямбол,0.03
"ФтЕЦ ""КГБ-1""",община Левски,0.03
"ФтЕЦ ""Крис - 1""",община Гулянци,0.03
"ФтЕЦ ""Одринци""",община Добричка,0.03
ФтЕЦ Косаня-1,община Козлодуй,0.03
"ФтЕЦ ""Косаня 2""",община Бяла Слатина,0.03
"ФтЕЦ ""Енерджи М - Лозарски връх""",община Сливен,0.0288
"ФтЕЦ ""Енерджи М - Сливен""",община Сливен,0.0288
"ФтЕЦ ""Христо Алипиев - Малко градище""",община Любимец,0.02976
"ФтЕЦ ""Щръклево - Сакар планина""",община Русе,0.03
"ФтЕЦ ""Бистрилица"" 1",община Берковица,0.03
"ФтЕЦ ""Май транс - Сухозем""",община Калояново,0.03
"ФтЕЦ ""Анжел 2003 - Диня 1""",община Раднево,0.0297
"ФтЕЦ ""Геокадинженеринг""",община Долни Дъбник,0.03
"ФтЕЦ ""ВВВ Солар 1""",община Долна Митрополия,0.03
"ФтЕЦ"" ВВВ Солар 2""",община Долна Митрополия,0.03
"ФтЕЦ ""Крис - 2""",община Гулянци,0.03
ФтЕЦ КГБ-2,община Левски,0.03
"ФтЕЦ ""Солар технолъджи 2""",община Левски,0.03
"ФтЕЦ ""ИВАН ГАНЧЕВ-КАРАВЕЛОВО""",община Карлово,0.02992
ФтЕЦ Галя Несторова-Сърнево,община Раднево,0.03
"ФтЕЦ ""Етик естейтс-Кукорево""",община Тунджа,0.03
"ФтЕЦ ""Етик естейтс - Маломир""",община Тунджа,0.03
"ФтЕЦ ""КГ Русинов 1""",община Долна Митрополия,0.03
"ФтЕЦ ""КГ РУСИНОВ 2""",община Плевен,0.03
"ФтЕЦ ""Горна Оряховица - Атанас Буров - 1""",община Горна Оряховица,0.03
"ФтЕЦ ""Мария Гвоздейкова - Твърдица""",община Твърдица,0.029925
"ФтЕЦ ""Иванчо Иванов - Лясково 1""",община Айтос,0.00476
"ФтЕЦ ""Джулюница - 2""",община Лясковец,0.0296
"ФтЕЦ ""Николай Политов-Искра""",община Първомай,0.0297
"ФтЕЦ ""Узунов 2005 - Въгларово""",община Хасково,0.02989
"ФтЕЦ ""Климасолар 1""",община Плевен,0.0297
"ФтЕЦ"" Климасолар 2""",община Плевен,0.03
"ФтЕЦ ""Елком 1""",община Плевен,0.03
"ФтЕЦ"" Елком 2""",община Плевен,0.03
"ФтЕЦ ""ГЕОРГИ ГЕОРГИЕВ-ДЪБОВИЦА""",община Сунгурларе,0.0294
"ФтЕЦ ""Агро Маринови-1""",община Червен бряг,0.03
"ФтЕЦ ""Агро Маринови 2""",община Долни Дъбник,0.029815
"ФтЕЦ ""Роки-1""",община Плевен,0.02968
"ФтЕЦ ""Роки - 2""",община Плевен,0.03
"ФтЕЦ ""Елина Стоева""",община Благоевград,0.02025
"ФтЕЦ ""Каварна - България""",община Каварна,0.02988
"ФтЕЦ ""АГРОСЕМ 2""",община Бяла Слатина,0.0297
"ФтЕЦ ""Кула 5""",община Кула,0.02975
"ФтЕЦ ""Кула 6""",община Кула,0.0294
"ФтЕЦ ""Бриз-13""",община Гулянци,0.03
"ФтЕЦ ""Бриз 14""",община Левски,0.03
"ФтЕЦ ""Бриз 15""",община Белене,0.03
"ФтЕЦ"" Бриз-16""",община Плевен,0.03
"ФтЕЦ ""Бриз-17""",община Никопол,0.03
"ФтЕЦ ""Бриз - 18""",община Момчилград,0.03
"ФтЕЦ ""Бриз 19""",община Пордим,0.03
"ФтЕЦ"" Бриз-20""",община Плевен,0.03
"ФтЕЦ ""Бриз-21""",община Плевен,0.03
"ФтЕЦ ""Агропартнерс - Крива круша""",община Нова Загора,0.18
"ФтЕЦ  ""АГРОСЕМ""",община Бяла Слатина,0.03
"ФтЕЦ ""Петър Грозданов - Елшица""",община Панагюрище,0.02992
"ФтЕЦ ""Раждавица 2""",община Кюстендил,0.02988
"ФтЕЦ ""Раждавица 1""",община Кюстендил,0.03
"ФтЕЦ ""Фазиле Чукарка 1""",община Айтос,0.03
"ФтЕЦ ""Александрово - Търговище - 2""",община Търговище,0.02924
"ФтЕЦ ""Пчелно""",община Антоново,0.03
"ФтЕЦ ""ГеМил - Еленино 2""",община Стара Загора,0.03
"ФтЕЦ ""Тилев 2012""",община Сандански,0.0297
"ФтЕЦ ""Радка Вълкова - Кабиле""",община Тунджа,0.03
"ФтЕЦ ""Лазар Лазаров""",община Кресна,0.03
ФтЕЦ Лендхилс-Голям Дол 2,община Братя Даскалови,0.03
"ФтЕЦ ""Ястребино - 1""",община Антоново,0.03
"ФтЕЦ ""Славяни 2""",община Ловеч,0.03
"ФтЕЦ ""Николов Енерджи 1""",община Гулянци,0.03
"ФтЕЦ ""Николов енерджи 2""",община Гулянци,0.03
"ФтЕЦ ""Бета форест""",община Гулянци,0.03
"ФтЕЦ ""Кубрат - Оборище""",община Кубрат,0.03
"ФтЕЦ ""Станислав Стоянов - Оглед""",община Рудозем,0.00495
"ФтЕЦ ""Коняво""",община Кюстендил,2.2
"ФтЕЦ ""Изворово - Търговище""",община Антоново,0.03
"ФтЕЦ ""Свети Панталеймон 1""",община Плевен,0.02112
"ФтЕЦ ""Изворово - Търговище - 1""",община Антоново,0.03
"ФтЕЦ ""Капище - 1""",община Антоново,0.015
"ФтЕЦ ""НИБ Солар""",община Благоевград,0.0299
"ФтЕЦ ""Троян 2""",община Троян,0.03
"ФтЕЦ ""Инекс трейд 1""",община Враца,0.03
"ФтЕЦ ""Инекс трейд 3""",община Враца,0.03
"ФтЕЦ ""Русе - Колю Фичето""",община Русе,0.03
"ФтЕЦ ""Варна - Градински център Мимоза""",община Варна,0.03
"ФтЕЦ ""Маршаков 1""",община Гулянци,0.03
"ФтЕЦ ""Ем ауто""",община Долна Митрополия,0.03
"ФтЕЦ ""Таймище""",община Антоново,0.03
"ФтЕЦ ""Пресиян""",община Търговище,0.03
"ФтЕЦ ""Валитекс - Добри дол""",община Първомай,0.03
"ФтЕЦ "" Мабо мениджмънт-Гита 8 """,община Чирпан,0.03
"ФтЕЦ ""АЛЕКСАНДРОВО""",община Търговище,0.03
"ФтЕЦ ""Свещари - 4""",община Исперих,0.029815
"ФтЕЦ ""Алмания 12""",община Летница,0.03
"ФтЕЦ ""Варна - Трети Март - 1""",община Варна,0.15
ФтЕЦ ИВАН БЪРДАРОВ,община Петрич,0.03
"ФтЕЦ ""РУСЕ- ЗАЙЧАР""",община Русе,0.005
"ФтЕЦ "" Стилияна Янакиева-Хасково""",община Хасково,0.02976
"ФтЕЦ ""Фърничър""",община Долни Дъбник,0.03
"ФтЕЦ ""Е Ди Ай""",община Божурище,0.03
"ФтЕЦ ""Стражел - Дъбовец 1""",община Любимец,0.03
"ФтЕЦ ""Стражел-Любимец 1""",община Любимец,0.03
"ФтЕЦ "" Стражел-Любимец 2""",община Любимец,0.03
ФтЕЦ Ценово,община Ценово,0.03
"ФтЕЦ ""Милен - Горно поле""",община Маджарово,0.0297
"ФтЕЦ ""Пиргово - 4""",община Иваново,0.03
"ФтЕЦ ""Фотикс - Биково 2""",община Сливен,0.03
"ФтЕЦ ""Евродивелъпмънт - Скалица""",община Тунджа,0.0297
"ФтЕЦ ""Българене""",община Ловеч,0.03
"ФтЕЦ ""КАО техникс - Пазарджик""",община Пазарджик,0.03
"ФтЕЦ ""Разград - Бели Лом""",община Разград,0.0297
"ФтЕЦ ""Дрен-1""",община Радомир,0.03
"ФтЕЦ ""ПВД енерджи - Гелеменово""",община Пазарджик,0.0297
"ФтЕЦ ""Иван Кисьов - Дунево""",община Смолян,0.003575
"ФтЕЦ ""Сиси пласт - Искра""",община Карнобат,0.0297
"ФтЕЦ ""Стевал - Свиленград""",община Свиленград,0.03
"ФтЕЦ ""Денис Кая""",община Мизия,0.03
ФтЕЦ Мост солар енерджи 1,община Гоце Делчев,0.03
"ФтЕЦ ""Мост солар енерджи"" 2",община Гоце Делчев,0.03
ФтЕЦ Мост Солар Енерджи 3,община Гоце Делчев,0.029815
"ФтЕЦ ""Мост Солар Енерджи 4""",община Гоце Делчев,0.03
"ФтЕЦ ""Ния Стил - Маломир""",община Тунджа,0.0297
"ФтЕЦ ""Беловец - Хан Аспарух""",община Кубрат,0.03
"ФтЕЦ ""Георги Георгиев - Николаево 2""",община Сливен,0.029815
"ФтЕЦ ""Варна - Свети Никола - 1""",община Варна,0.01
"ФтЕЦ ""Бяла - 6""",община Бяла,0.03
"ФтЕЦ ""Козаревец""",община Лясковец,0.03
"ФтЕЦ ""Кавлак""",община Стражица,0.03
"ФтЕЦ ""Горан 2""",община Ловеч,0.03
"ФтЕЦ ""Атек 2""",община Никопол,0.03
"ФтЕЦ ""СЮ - Воденичане""",община Стралджа,0.03
"ФтЕЦ ""Алгера - Сливен""",община Сливен,0.03
"ФтЕЦ ""Павел Гуджеров - Чехларе""",община Брезово,0.0297
"ФтЕЦ "" СЛИВО ПОЛЕ- 5 """,община Сливо поле,0.03
"ФтЕЦ ""Община Раковски - ОУ Отец Паисий""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски  -ОУ Христо Ботев""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - ДГ Щастливо детство""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - ДГ Синчец""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - ДГ Радост""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - административна сграда""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - училищна сграда""",община Раковски,0.029925
"ФтЕЦ ""Община Раковски - спортен комплекс""",община Раковски,0.029925
"ФтЕЦ ""Две могили-Орлова чука""",община Две могили,0.03
"ФтЕЦ ""Дафи - Гълъбинци 1""",община Тунджа,0.03
"ФтЕЦ ""Кънчо Кънев - Държава 2""",община Чирпан,0.03
"ФтЕЦ "" Кънчо Кънев-Държава 3 """,община Чирпан,0.03
"ФтЕЦ ""СКК енерджи""",община Левски,0.03
"ФтЕЦ ""Атанас Тинешев - Любимец""",община Любимец,0.029815
ФтЕЦ Мост солар енерджи 5,община Гоце Делчев,0.029815
"ФтЕЦ ""Мост солар енерджи 6""",община Гоце Делчев,0.029815
"ФтЕЦ ""Екофорум""",община Столична,0.02944
"ФтЕЦ ""Мост солар Енерджи 7""",община Гоце Делчев,0.03
"ФтЕЦ ""ЛОВЧАНЦИ 2""",община Добричка,0.03
ФтЕЦ Радиком - Леново,община Асеновград,0.0297
"ФтЕЦ ""КРУШАРИ - 2""",община Крушари,0.005
ФтЕЦ АЛБИОН-ЛЮБИМЕЦ,община Любимец,0.03
"ФтЕЦ ""Водица - Варна - 2""",община Аксаково,0.0297
"ФтЕЦ ""Водица - Варна - 1""",община Аксаково,0.0297
"ФтЕЦ ""Водица - Варна""",община Аксаково,0.03
"ФтЕЦ ""Белослав Белчев - Долно Изворово""",община Казанлък,0.0299
"ФтЕЦ ""Белвеста - Казанлък""",община Казанлък,0.02976
"ФтЕЦ ""Силистра - 6""",община Силистра,0.005
"ФтЕЦ""Дамянов-Карнобат 1""",община Карнобат,0.02992
"ФтЕЦ ""Босолов""",община Плевен,0.0048
"ФтЕЦ ""Людмила Ганчева - Московец""",община Карлово,0.00496
"ФтЕЦ ""Еко фууд-Карнобат 3""",община Карнобат,0.03
ФтЕЦ ТиДжиСи,община Червен бряг,0.03
"ФтЕЦ ""Импулс М - Нова Загора""",община Нова Загора,0.02992
"ФтЕЦ ""Вики енерджи груп-Бегово""",община Калояново,0.03
"ФтЕЦ"" Нейчъръл енерджи - Бояново""",община Болярово,0.0297
"ФтЕЦ ""Светлина""",община Невестино,0.02968
"ФтЕЦ ""Инс 2002 - Бургас""",община Бургас,0.0297
"ФтЕЦ ""Ракета 5""",община Кюстендил,0.0297
"ФтЕЦ ""Братя Иванови 2015""",община Разлог,0.03
"ФтЕЦ ""Обединение""",община Полски Тръмбеш,0.03
"ФтЕЦ ""Обединение - 1""",община Полски Тръмбеш,0.03
"ФтЕЦ ""Валентин Киневирски""",община Гърмен,0.03
"ФтЕЦ ""Брайт лайт - Малък дол""",община Братя Даскалови,0.0297
"ФтЕЦ"" Брайтлайт - СПАСОВО""",община Чирпан,0.03
"ФтЕЦ  ""Брайт Лайт - Опълченец""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт лайт - Левски 1""",община Панагюрище,0.0297
"ФтЕЦ  ""Брайт Лайт - Левски 2""",община Панагюрище,0.0297
"ФтЕЦ ""Брайт лайт - Горно Белево""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт лайт - Медово""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт Лайт - Медово 2""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт Лайт - Медово 3""",община Братя Даскалови,0.0297
"ФтЕЦ ""Русе - Трети март - 11""",община Русе,0.88
"ФтЕЦ ""ПВ Алианц - Държава 3""",община Чирпан,0.03
"ФтЕЦ ""Русе - Трети Март - 8""",община Русе,0.03
"ФтЕЦ ""Атом солар - Гранит 2""",община Братя Даскалови,0.029815
"ФтЕЦ ""ЕлДи солар - Стралджа 2""",община Стралджа,0.029775
"ФтЕЦ ""Брайт лайт - Гранит 2""",община Братя Даскалови,0.0297
"ФтЕЦ  ""Брайт Лайт - Гранит 3""",община Братя Даскалови,0.0297
ФтЕЦ Брайт лайт-Рупките 1,община Чирпан,0.0297
"ФтЕЦ ""Брайт лайт - Чоба 1""",община Брезово,0.029975
"ФтЕЦ ""Брайт Лайт - Рупките 2""",община Чирпан,0.0297
"ФтЕЦ  ""Брайт Лайт - Чоба 2""",община Брезово,0.0297
"ФтЕЦ ""Брайт лайт - Гранит 1""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт лайт - Православ 1""",община Братя Даскалови,0.029975
"ФтЕЦ ""Брайт Лайт-Православ 2""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт лайт - Православ 3""",община Братя Даскалови,0.03
"ФтЕЦ ""Брайт лайт - Православ 4""",община Братя Даскалови,0.0297
"ФтЕЦ ""Брайт лайт - Тюркмен 1""",община Брезово,0.0297
"ФтЕЦ ""Брайт лайт - Тюркмен 2""",община Брезово,0.0297
"ФтЕЦ ""Александрина Данева - Узунджово""",община Хасково,0.029815
"ФтЕЦ ""Октай Рамадан - Узунджово""",община Хасково,0.029815
"ФтЕЦ ""Мариян Славов - Попово""",община Болярово,0.03
"ФтЕЦ ""Бинев 78 - Твърдица""",община Твърдица,0.02992
"ФтЕЦ ""Русе - Трети март - 10""",община Русе,0.03
"ФтЕЦ ""Нитонтекс-Срем""",община Тополовград,0.03
"ФтЕЦ ""Нитонтекс - Бургас""",община Бургас,0.03
"ФтЕЦ ""Румика 90 - Елхово""",община Елхово,0.02948
"ФтЕЦ ""Опака - 3""",община Попово,0.03
"ФтЕЦ ""Садина - 14""",община Попово,0.02975
"ФтЕЦ ""Задруга""",община Кубрат,0.03
"ФтЕЦ ""Ем Те Пауар - Спахиево""",община Минерални бани,0.03
"ФтЕЦ ""Дружба""",община Никопол,0.03
"ФтЕЦ ""Тонка Тодорова - Конуш""",община Хасково,0.02996
"ФтЕЦ ""Кочериново""",община Кочериново,0.03
"ФтЕЦ  ""Димо Голев -Царимир 2""",община Съединение,0.0297
"ФтЕЦ ""Димитър Люпев 1""",община Рила,0.03
"ФтЕЦ"" Росен Апостолов-Царева поляна""",община Стамболово,0.005
"ФтЕЦ ""Росен Апостолов - Царева поляна 2""",община Стамболово,0.00495
"ФтЕЦ ""Стели 2001 - Селиминово 1""",община Сливен,0.03
"ФтЕЦ ""Пиргово - Петко Рачов Славейков""",община Иваново,0.03
"ФтЕЦ ""Лали - Алеко Константиново""",община Пазарджик,0.02744
"ФтЕЦ ""Джей Ди Инвест""",община Пирдоп,0.03
"ФтЕЦ ""Елена Тончева -Ситово""",община Болярово,0.0297
"ФтЕЦ ""Капитолия 2""",община Левски,0.0299
"ФтЕЦ ""Рила""",община Рила,0.02985
"ФтЕЦ ""Айпиди - Енина 1""",община Казанлък,0.02957
"ФтЕЦ  ""Петко Петков - Шивачево""",община Твърдица,0.029625
"ФтЕЦ ""Жанси""",община Брусарци,0.03
"ФтЕЦ ""Пиргово - Петко Войвода""",община Иваново,0.005
"ФтЕЦ"" Лендхилс-Голям дол 3""",община Братя Даскалови,0.03
"ФтЕЦ ""Станимир Харитонов - Гипсово 1""",община Раднево,0.0297
"ФтЕЦ ""Божичен - Пирин""",община Иваново,0.015
"ФтЕЦ ""Тилком""",община Столична,0.1
"ФтЕЦ ""Каварна - Марица""",община Каварна,0.02992
"ФтЕЦ ""Конево-Разград""",община Исперих,0.03
"ФтЕЦ ""Пъдарино - 1""",община Омуртаг,0.019765
"ФтЕЦ ""Любомир Куков""",община Симитли,0.0297
"ФтЕЦ  ""Изворово - Добрич""",община Генерал Тошево,0.03
ФтЕЦ ВИП Агро 1,община Гулянци,0.02968
"ФтЕЦ ""ВИП Агро 2""",община Долни Дъбник,0.02968
"ФтЕЦ ""Радотина""",община Ботевград,0.03
"ФтЕЦ"" ТЕТОВО - ПАИСИЙ ХИЛЕНДАРСКИ""",община Русе,0.03
"ФтЕЦ"" ТЕТОВО - ПАИСИЙ ХИЛЕНДАРСКИ - 1""",община Русе,0.03
"ФтЕЦ ""Рашка Гращица""",община Невестино,0.03
"ФтЕЦ ""Пороминово""",община Кочериново,0.03
ФтЕЦ Асен Димитров - Крайна,община Неделино,0.02937
"ФтЕЦ ""Лот инс""",община Червен бряг,0.03
"ФтЕЦ ""Полски Сеновец - Осма""",община Полски Тръмбеш,0.03
"ФтЕЦ ""Спринг дей""",община Бяла Слатина,0.029
"ФтЕЦ ""Ново село - 8""",община Русе,0.06
"ФтЕЦ ""СТРЕЛА""",община Левски,0.0297
"ФтЕЦ ""Черни бряг""",община Антоново,0.03
"ФтЕЦ ""Опака 2""",община Опака,0.02975
"ФтЕЦ"" ПОСАБИНА""",община Попово,0.03
"ФтЕЦ ""Ковачевец-4""",община Попово,0.03
"ФтЕЦ ""Миролесков - Ямбол 2""",община Ямбол,0.04
"ФтЕЦ ""Паро - Смолян 2""",община Смолян,0.09984
"ФтЕЦ ""Орешак 3""",община Троян,0.03
"ФтЕЦ ""Крушари-Възраждане""",община Крушари,0.01
"ФтЕЦ ""Ви Ал енерджи""",община Искър,0.03
"ФтЕЦ ""Русе - Зорница""",община Русе,0.03
"ФтЕЦ ""Ряхово - Поп Харитон""",община Сливо поле,0.03
"ФтЕЦ ""Исперих - Лом""",община Исперих,0.005
"ФтЕЦ ""Габрово - Индустриална""",община Габрово,13.489
"ФтЕЦ ""Тетово - Иван Вазов - 1""",община Русе,0.03
"ФтЕЦ ""Тетово - Тимок""",община Русе,0.0294
"ФтЕЦ ""Басарбово - Хан Омуртаг""",община Русе,0.03
"ФтЕЦ ""Новема""",община Долни Дъбник,0.16
"ФтЕЦ ""Геокад-ТТ - Иваново 2""",община Харманли,0.02989
"ФтЕЦ ""Геокад-ТТ - Иваново 3""",община Харманли,0.02992
"ФтЕЦ ""Спартак 1""",община Кнежа,0.03
"ФтЕЦ ""Андон Софронов - Капитан Андреево""",община Свиленград,0.02925
"ФтЕЦ ""Стефаново""",община Ловеч,0.03
"ФтЕЦ ""Д20 - Дражево""",община Тунджа,1.5
"ФтЕЦ ""Варна - Св.Св. Константин и Елена""",община Варна,0.02998
"ФтЕЦ ""Агро Верде - Стара Загора""",община Стара Загора,2.96136
"ФтЕЦ ""Хирево""",община Севлиево,0.03
"ФтЕЦ ""Биосим - Ямбол""",община Ямбол,0.02989
"ФтЕЦ ""Бета 1""",община Червен бряг,5.0
"ФтЕЦ ""Керамик Груп - Пловдив 1""",община Пловдив,0.11
"ФтЕЦ ""Соларис Върбица""",община Плевен,0.03
"ФтЕЦ ""Стефка Григорова""",община Кюстендил,0.03
"ФтЕЦ ""Маршаков 2""",община Гулянци,0.03
"ФтЕЦ ""Табачка - Пейо Яворов - 1""",община Иваново,0.03
"ФтЕЦ ""Джей Ди Инвест 2""",община Пирдоп,0.03
"ФтЕЦ ""Табачка - Пейо Яворов""",община Иваново,0.03
"ФтЕЦ ""Джей Ди Инвест 3""",община Пирдоп,0.03
"ФтЕЦ ""Пебо строй - Хасково""",община Хасково,0.02964
ФтЕЦ Никома 2002 - Детелина 1,община Карнобат,0.03
"ФтЕЦ ""Елина Джупанова""",община Радомир,0.03
ФтЕЦ Марин Джупанов,община Радомир,0.029575
"ФтЕЦ"" Цветомир Димитров""",община Криводол,0.03
"ФтЕЦ ""Еко Микс 1""",община Земен,0.03
"ФтЕЦ ""Джи Пи билдинг 1""",община Враца,0.03
"ФтЕЦ ""ДЖИ ПИ БИЛДИНГ 2""",община Враца,0.03
"ФтЕЦ ""Джи Пи билдинг 3""",община Мездра,0.03
"ФтЕЦ ""Мариета Александрова - Иваново""",община Харманли,0.029815
"ФтЕЦ ""ПД Енерджи - Бял кладенец 4""",община Нова Загора,0.1
"ФтЕЦ ""Васил Енев""",община Никопол,0.03
"ФтЕЦ ""Евродринкс - Глушник 1""",община Сливен,0.03
"ФтЕЦ ""Сидтех - Селци""",община Садово,0.03
"ФтЕЦ ""Методиево-Добрич 1""",община Добричка,0.02992
ФтЕЦ АБС Строй-Харманли 11,община Харманли,0.03
ФтЕЦ АБС Строй-Харманли 12,община Харманли,0.029815
"ФтЕЦ ""АБС строй-Остър камък 1""",община Харманли,0.03
ФтЕЦ АБС строй-Остър камък 2,община Харманли,0.03
"ФтЕЦ ""Мони""",община Дупница,0.03
"ФтЕЦ ""Кожухаров Новачене""",община Никопол,0.03
"ФтЕЦ ""Бяла - Граф Игнатиев""",община Бяла,0.0297
"ФтЕЦ ""СОЕЛПИ - АЙТОС1""",община Айтос,0.029625
"ФтЕЦ ""Соелпи - Лясково 1""",община Айтос,0.029625
"ФтЕЦ ""Паламарца - 7""",община Попово,2.52
"ФтЕЦ ""СОЕЛПИ - ЛЯСКОВО 2""",община Айтос,0.029625
"ФтЕЦ ""Елзирама""",община Мездра,0.03
"ФтЕЦ ""Васил Митов""",община Кресна,0.0297
"ФтЕЦ ""Васил Митов 2""",община Кресна,0.0297
"ФтЕЦ ""Васил Митов 3""",община Кресна,0.029815
"ФтЕЦ ""Емилия Митова""",община Струмяни,0.0297
"ФтЕЦ ""Горна Оряховица - 11""",община Горна Оряховица,0.03
ФтЕЦ Тракийско вино-Харманли 1,община Харманли,0.03
ФтЕЦ Тракийско вино-Харманли 2,община Харманли,0.02992
ФтЕЦ Мирков Агро-94,община Гулянци,0.03
ФтЕЦ Никола Чаталбашев - Сеноклас,община Маджарово,0.029815
"ФтЕЦ ""Червена вода-Цар Калоян""",община Русе,0.03
"ФтЕЦ ""Калитон - Сунгурларе""",община Сунгурларе,0.045
"ФтЕЦ"" Теротех-Козаревец""",община Стара Загора,0.03
ФтЕЦ Теротех - Малък дол,община Братя Даскалови,0.03
"ФтЕЦ ""Василев Про - Казанлък""",община Казанлък,0.0297
"ФтЕЦ ""Обретеник - Панайот Волов""",община Борово,0.03
"ФтЕЦ ""Нова солис - Добровница""",община Пазарджик,0.03
"ФтЕЦ ""Иванка Георгиева - Клокотница""",община Хасково,0.029815
"ФтЕЦ ""Манов Трейд - Землен 1""",община Раднево,0.02964
"ФтЕЦ ""Манов Трейд - Полски Градец 1""",община Раднево,0.02964
"ФтЕЦ ""Езерче""",община Цар Калоян,0.02958
"ФтЕЦ ""Китанчево 1""",община Исперих,0.03
"ФтЕЦ ""Невестино""",община Карнобат,0.03
"ФтЕЦ ""Веда""",община Долни Дъбник,0.1098
"ФтЕЦ ""Голдън игъл - Пет могили 2""",община Нова Загора,0.03
"ФтЕЦ ""Любомир Панов""",община Гулянци,0.03
"ФтЕЦ ""Голдън игъл - Новоселец 2""",община Нова Загора,0.03
"ФтЕЦ ""Голдън игъл - Новоселец 3""",община Нова Загора,0.03
"ФтЕЦ ""Батин""",община Борово,0.03
"ФтЕЦ ""Капитолия 1""",община Левски,0.03
"ФтЕЦ"" Лендхилс-Голям Дол 4""",община Братя Даскалови,0.03
ФтЕЦ Лендхилс-Горно Белево 1,община Братя Даскалови,0.03
